adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
1,69,, ,2011,0,0,14,13,0,1,2013,0,1730,0,0,0,14,0,14,069-2011-2013- -1730,069-2011-2013- -1730-000,2017,9
53,69,, ,2012,0,0,784,731,0,53,2012,179,1730,15,0,0,784,0,769,069-2012-2012- -1730,069-2012-2012- -1730-000,2017,9
0,69,, ,2012,0,0,56,56,0,0,2014,0,1730,0,0,0,56,0,56,069-2012-2014- -1730,069-2012-2014- -1730-000,2017,9
8,69,, ,2013,0,0,473,465,0,8,2013,-1,1730,9,0,0,473,0,464,069-2013-2013- -1730,069-2013-2013- -1730-000,2017,9
3,69,, ,2013,0,0,4,1,0,3,2015,-40,1730,0,0,0,4,0,4,069-2013-2015- -1730,069-2013-2015- -1730-000,2017,9
12,69,, ,2014,0,0,121,120,0,12,2014,12,1730,0,-12,-12,121,0,121,069-2014-2014- -1730,069-2014-2014- -1730-000,2017,9
0,69,, ,2014,0,0,2,2,0,0,2016,-41,1730,0,0,0,2,0,2,069-2014-2016- -1730,069-2014-2016- -1730-000,2017,9
2,69,, ,2015,0,0,74,73,0,2,2015,-16,1730,0,-2,-2,74,0,74,069-2015-2015- -1730,069-2015-2015- -1730-000,2017,9
200,69,, ,2015,0,0,518,318,0,0,2017,-2326,1730,242,0,0,518,0,276,069-2015-2017- -1730,069-2015-2017- -1730-000,2017,9
14,69,, ,2016,0,0,91,78,0,14,2016,-161,1730,19,-1,-1,91,0,72,069-2016-2016- -1730,069-2016-2016- -1730-000,2017,9
25,69,, ,2016,0,0,1381,1356,0,0,2018,-291,1730,398,0,0,1381,0,983,069-2016-2018- -1730,069-2016-2018- -1730-000,2017,9
0,69,, ,2017,0,3616,9616,0,0,0,2017,-4169,1730,4204,6000,6000,9616,0,5412,069-2017-2017- -1730,069-2017-2017- -1730-000,2017,9
0,69,, ,2017,0,6214,6214,0,0,0,2019,0,1730,0,0,0,6214,0,6214,069-2017-2019- -1730,069-2017-2019- -1730-000,2017,9
2650,69,X,X,0,0,38270,137757,91837,0,1459,0,-32620,1750,21414,5000,5000,137757,0,116343,069-0000-0000-X-1750,069-0000-0000-X-1750-000,2017,9
